tick | mnemonic
0533 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0534 | dr[22:0] + pc -> ar
0535 | mem(ar)[31:0] -> dr
0536 | acc + mem(ar) -> acc
0537 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0538 | dr[22:0] + pc -> ar
0539 | acc[31:0] -> mem(ar)
0540 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0541 | dr[22:0] -> input address
0542 | input -> acc
0543 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0544 | dr[22:0] + pc -> ar
0545 | acc[31:0] -> mem(ar)
0546 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0547 | dr[22:0] -> input address
0548 | input -> acc
0549 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0550 | dr[22:0] -> ar
0551 | mem(ar)[31:0] -> dr
0552 | dr[22:0] -> ar
0553 | acc[7:0] -> mem(ar)
0554 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0555 | dr[22:0] + pc -> ar
0556 | mem(ar)[31:0] -> dr
0557 | dr[31:0] -> acc
0558 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0559 | acc + 1 -> acc
0560 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0561 | dr[22:0] + pc -> ar
0562 | acc[31:0] -> mem(ar)
0563 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0564 | acc - extended(dr[22:0]) -> acc
0565 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0566 | acc - extended(dr[22:0]) -> acc
0567 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0568 | dr[22:0] + pc -> ar
